Y,age35_twogrid,local_threegrid,people_threegrid,rich1_threegrid,road,internetj1500,entertainmentj1000,residentialj1000,atmj1500,hospitalj1500,non_local_twogrid,age25_threegrid
0,0.054602184,0.608190977,18264,0,35.80159745,2,2,20,15,2,0.411147355,0.174277267
0,0.056707317,0.596194833,19237,0,36.38792892,2,2,19,15,2,0.408401084,0.172272184
0,0.0546875,0.571105095,20315,0,36.09511261,2,2,19,20,2,0.417564655,0.180014767
0,0.044162083,0.539997195,21389,0,35.17362061,2,2,15,24,4,0.437592004,0.202861284
0,0.044851548,0.516353514,18681,0,33.99942291,2,1,9,24,4,0.452811118,0.203682886
0,0.094124358,0.436162625,11216,0,33.06242645,2,1,5,24,4,0.464917285,0.20363766
0,0.08010118,0.293068089,4876,0,32.99881439,1,0,7,22,4,0.585160202,0.358695652
0,0.090539166,0.258429794,3974,0,33.80793732,1,0,7,16,2,0.565615463,0.417715148
0,0.131306991,0.415862069,4350,0,34.87005341,0,0,5,15,2,0.421276596,0.412873563
0,0.100185529,0.455135336,5394,0,36.02541397,0,0,4,11,2,0.543334217,0.25713756
0,0.101475537,0.443843284,5360,0,37.08962372,0,0,2,11,2,0.564845975,0.246268657
0,0.101148168,0.440146266,5196,0,37.85577362,0,0,2,9,2,0.560962274,0.24095458
0,0.098623853,0.44252519,4863,0,38.30390656,0,0,0,0,1,0.563933486,0.222290767
0.128471692,0.160118606,0.464113475,3525,0,24.43835869,1,1,8,2,0,0.398072646,0.204539007
0.090462527,0.165517241,0.489568516,4218,0,24.67758842,1,1,20,2,0,0.388605697,0.204836415
0.042442384,0.181675275,0.538018433,6076,0,24.79393463,1,1,22,2,0,0.36626993,0.216260698
0.009925152,0.186026047,0.59415317,7286,0,24.53264908,1,1,24,4,0,0.333861316,0.239500412
0.000752565,0.193624557,0.610644637,7384,0,24.57396614,2,1,25,8,0,0.3270366,0.246749729
0,0.187404774,0.649939852,5819,0,24.69873085,2,1,26,10,0,0.30091417,0.274617632
0,0.18944914,0.676027525,5377,0,26.52626843,2,1,30,13,1,0.288837074,0.278594012
0.00029785,0.17884452,0.698886936,5121,0,31.63752079,3,1,29,17,2,0.24468989,0.283147823
0.005430671,0.148394562,0.713014628,6631,0,33.52352037,3,1,36,23,2,0.244720856,0.257427236
0.011887742,0.127543274,0.671861933,13153,0,35.34046731,2,1,28,21,2,0.320983905,0.221166274
0.014122336,0.090982337,0.625408831,19568,0,36.71696823,2,2,23,21,2,0.371428571,0.180141047
